Var1,Var2,r,se,p,n,Analysis,absZ
ItseaCompe 3yr,AsqMotor 6mo,-0.05,0.004,0,56382,FS,11.9
ItseaDysre 3yr,AsqMotor 6mo,0.018,0.004,0,56041,FS,4.29
ItseaExter 3yr,AsqMotor 6mo,0.021,0.004,0,56061,FS,5
ItseaInter 3yr,AsqMotor 6mo,0.042,0.004,0,56043,FS,10
ScqRestr 3yr,AsqMotor 6mo,-0.005,0.004,0,56232,FS,1.19
ScqSocia 3yr,AsqMotor 6mo,0.143,0.004,0,56272,FS,34.88
SdqProso 3yr,AsqMotor 6mo,-0.086,0.004,0,56274,FS,20.48
AsqLangu 5yr,AsqMotor 6mo,0.123,0.005,0,39523,FS,24.6
AsqMotor 5yr,AsqMotor 6mo,-0.162,0.005,0,39518,FS,33.06
CastFull 5yr,AsqMotor 6mo,-0.071,0.008,0,14170,FS,8.45
CbclExter 5yr,AsqMotor 6mo,0.048,0.005,0,36422,FS,9.23
CbclInter 5yr,AsqMotor 6mo,0.062,0.005,0,36344,FS,11.92
CccCoher 5yr,AsqMotor 6mo,-0.071,0.005,0,39548,FS,14.2
CprsrsFull 5yr,AsqMotor 6mo,0.052,0.005,0,39503,FS,10.4
EasActiv 5yr,AsqMotor 6mo,-0.075,0.005,0,36314,FS,14.42
EasEmoti 5yr,AsqMotor 6mo,-0.047,0.005,0,36321,FS,9.04
EasShyne 5yr,AsqMotor 6mo,0.048,0.005,0,36306,FS,9.23
EasSocia 5yr,AsqMotor 6mo,0.052,0.005,0,36312,FS,10
SlasFull 5yr,AsqMotor 6mo,-0.16,0.01,0,10221,FS,16.67
SprakExpre 5yr,AsqMotor 6mo,0.056,0.006,0,33402,FS,10.18
SprakRecep 5yr,AsqMotor 6mo,0.053,0.006,0,33403,FS,9.64
SprakSeman 5yr,AsqMotor 6mo,0.058,0.006,0,33421,FS,10.55
CccCoher 8yr,AsqMotor 6mo,0.084,0.006,0,28340,FS,14.24
CebqFull 8yr,AsqMotor 6mo,0.022,0.005,0,41368,FS,4.49
NhpicBenev 8yr,AsqMotor 6mo,0.023,0.005,0,41462,FS,4.69
NhpicConsc 8yr,AsqMotor 6mo,-0.057,0.005,0,41464,FS,11.63
RsdbdAdhd 8yr,AsqMotor 6mo,0.054,0.005,0,41491,FS,11.02
RsdbdCondu 8yr,AsqMotor 6mo,0.017,0.005,0,41562,FS,3.47
RsdbdHyper 8yr,AsqMotor 6mo,0.015,0.005,0,41480,FS,3.06
RsdbdInatt 8yr,AsqMotor 6mo,0.073,0.005,0,41489,FS,14.9
RsdbdOdd 8yr,AsqMotor 6mo,0.027,0.005,0,41473,FS,5.51
ScaredFull 8yr,AsqMotor 6mo,0.039,0.005,0,41506,FS,7.96
ScqRestr 8yr,AsqMotor 6mo,-0.071,0.005,0,35185,FS,13.4
ScqSocia 8yr,AsqMotor 6mo,0.042,0.005,0,35212,FS,7.92
SmfqFull 8yr,AsqMotor 6mo,0.04,0.005,0,41444,FS,8.16
SpinFull 8yr,AsqMotor 6mo,0.043,0.005,0,40519,FS,8.6
SprakSeman 8yr,AsqMotor 6mo,0.046,0.007,0,23500,FS,7.08
CapeFullC 14yr,AsqMotor 6mo,-0.006,0.007,0,20643,FS,0.86
PeqParenC 14yr,AsqMotor 6mo,0,0.007,0,20702,FS,0
SbSchooC 14yr,AsqMotor 6mo,-0.005,0.007,0,18912,FS,0.68
SclAnxieC 14yr,AsqMotor 6mo,0.004,0.007,0,18926,FS,0.55
