Var1,Var2,r,se,p,n,Analysis,absZ
SclAnxieC 14yr,CebqFull 8yr,0.068,0.008,1.37e-307,14692,FS,8.29
SclDepreC 14yr,CebqFull 8yr,0.064,0.008,6.67e-132,14686,FS,7.8
SdqProsoC 14yr,CebqFull 8yr,-0.008,0.009,1.77e-60,13024,FS,0.91
SdqProsoM 14yr,CebqFull 8yr,-0.042,0.01,0,10913,FS,4.38
SmfqFullC 14yr,CebqFull 8yr,0.068,0.008,2.57e-77,16096,FS,8.72
SmfqFullM 14yr,CebqFull 8yr,0.094,0.009,0,13625,FS,11.06
SpinFullC 14yr,CebqFull 8yr,0.05,0.008,7.95e-84,15692,FS,6.25
SppaSociaC 14yr,CebqFull 8yr,-0.054,0.008,8.87e-136,16151,FS,6.92
SwlsFullC 14yr,CebqFull 8yr,-0.058,0.008,4.92e-101,16137,FS,7.44
YptiFullC 14yr,CebqFull 8yr,0.053,0.008,2.67e-80,16033,FS,6.71
NhpicConsc 8yr,NhpicBenev 8yr,-0.379,0.004,3.54e-70,43254,FS,92.44
RsdbdAdhd 8yr,NhpicBenev 8yr,0.402,0.004,8.4e-33,43181,FS,100.5
RsdbdCondu 8yr,NhpicBenev 8yr,0.366,0.004,0,43249,FS,87.14
RsdbdHyper 8yr,NhpicBenev 8yr,0.405,0.004,1.11e-200,43170,FS,101.25
RsdbdInatt 8yr,NhpicBenev 8yr,0.328,0.004,1.91e-96,43179,FS,76.28
RsdbdOdd 8yr,NhpicBenev 8yr,0.583,0.003,3.48e-215,43164,FS,182.19
ScaredFull 8yr,NhpicBenev 8yr,0.092,0.005,0,43191,FS,19.17
ScqRestr 8yr,NhpicBenev 8yr,-0.166,0.005,0,35867,FS,32.55
ScqSocia 8yr,NhpicBenev 8yr,0.004,0.005,2.67e-153,35892,FS,0.75
SmfqFull 8yr,NhpicBenev 8yr,0.318,0.004,0,43217,FS,73.95
SpinFull 8yr,NhpicBenev 8yr,0.111,0.005,0,42150,FS,23.12
SprakSeman 8yr,NhpicBenev 8yr,0.125,0.006,0,24057,FS,19.84
CapeFullC 14yr,NhpicBenev 8yr,0.063,0.008,4.21e-99,16126,FS,8.08
PeqParenC 14yr,NhpicBenev 8yr,-0.152,0.008,1.07e-45,16178,FS,19.74
SbSchooC 14yr,NhpicBenev 8yr,0.083,0.008,3.22e-33,14729,FS,10.12
SclAnxieC 14yr,NhpicBenev 8yr,0.066,0.008,2.15e-260,14737,FS,8.05
SclDepreC 14yr,NhpicBenev 8yr,0.081,0.008,8.9e-85,14731,FS,9.88
SdqProsoC 14yr,NhpicBenev 8yr,-0.095,0.009,4.03e-16,13063,FS,10.92
SdqProsoM 14yr,NhpicBenev 8yr,-0.254,0.009,4.39e-298,10956,FS,28.54
SmfqFullC 14yr,NhpicBenev 8yr,0.091,0.008,1.68e-31,16168,FS,11.67
SmfqFullM 14yr,NhpicBenev 8yr,0.156,0.008,0,13703,FS,18.8
SpinFullC 14yr,NhpicBenev 8yr,0.049,0.008,8.63e-36,15732,FS,6.12
SppaSociaC 14yr,NhpicBenev 8yr,-0.065,0.008,6.33e-88,16194,FS,8.33
SwlsFullC 14yr,NhpicBenev 8yr,-0.103,0.008,4.39e-52,16179,FS,13.21
YptiFullC 14yr,NhpicBenev 8yr,0.135,0.008,2.79e-33,16075,FS,17.53
RsdbdAdhd 8yr,NhpicConsc 8yr,-0.597,0.003,1.37e-46,43182,FS,192.58
RsdbdCondu 8yr,NhpicConsc 8yr,-0.256,0.005,0,43250,FS,56.89
RsdbdHyper 8yr,NhpicConsc 8yr,-0.384,0.004,2e-219,43170,FS,93.66
RsdbdInatt 8yr,NhpicConsc 8yr,-0.644,0.003,2.97e-123,43180,FS,230
RsdbdOdd 8yr,NhpicConsc 8yr,-0.32,0.004,1.43e-169,43164,FS,74.42
ScaredFull 8yr,NhpicConsc 8yr,-0.07,0.005,0,43193,FS,14.58
ScqRestr 8yr,NhpicConsc 8yr,0.15,0.005,0,35869,FS,28.85
ScqSocia 8yr,NhpicConsc 8yr,-0.011,0.005,1.22e-148,35895,FS,2.08
SmfqFull 8yr,NhpicConsc 8yr,-0.272,0.005,0,43220,FS,60.44
SpinFull 8yr,NhpicConsc 8yr,-0.132,0.005,0,42152,FS,27.5
SprakSeman 8yr,NhpicConsc 8yr,-0.24,0.006,0,24058,FS,39.34
CapeFullC 14yr,NhpicConsc 8yr,-0.04,0.008,1.51e-98,16126,FS,5.06
PeqParenC 14yr,NhpicConsc 8yr,0.134,0.008,3.46e-46,16178,FS,17.4
SbSchooC 14yr,NhpicConsc 8yr,-0.072,0.008,1.11e-32,14729,FS,8.78
SclAnxieC 14yr,NhpicConsc 8yr,-0.05,0.008,9.2e-260,14737,FS,6.1
SclDepreC 14yr,NhpicConsc 8yr,-0.064,0.008,4.48e-83,14731,FS,7.8
SdqProsoC 14yr,NhpicConsc 8yr,0.125,0.009,1.19e-15,13063,FS,14.53
SdqProsoM 14yr,NhpicConsc 8yr,0.234,0.009,1.08e-303,10956,FS,26
SmfqFullC 14yr,NhpicConsc 8yr,-0.064,0.008,8.05e-29,16168,FS,8.21
SmfqFullM 14yr,NhpicConsc 8yr,-0.142,0.008,0,13703,FS,16.9
SpinFullC 14yr,NhpicConsc 8yr,-0.045,0.008,2.44e-37,15732,FS,5.62
SppaSociaC 14yr,NhpicConsc 8yr,0.1,0.008,2.09e-85,16194,FS,12.82
SwlsFullC 14yr,NhpicConsc 8yr,0.102,0.008,3.14e-50,16179,FS,13.08
YptiFullC 14yr,NhpicConsc 8yr,-0.147,0.008,8.38e-33,16075,FS,19.09
RsdbdCondu 8yr,RsdbdAdhd 8yr,0.373,0.004,0,43281,FS,90.98
RsdbdHyper 8yr,RsdbdAdhd 8yr,0.829,0.002,0,43273,FS,552.67
RsdbdInatt 8yr,RsdbdAdhd 8yr,0.921,0.001,0,43282,FS,1315.71
RsdbdOdd 8yr,RsdbdAdhd 8yr,0.517,0.004,7.46e-173,43266,FS,147.71
ScaredFull 8yr,RsdbdAdhd 8yr,0.133,0.005,0,43273,FS,28.3
ScqRestr 8yr,RsdbdAdhd 8yr,-0.316,0.005,0,35899,FS,65.83
ScqSocia 8yr,RsdbdAdhd 8yr,-0.001,0.005,1.81e-152,35925,FS,0.19
SmfqFull 8yr,RsdbdAdhd 8yr,0.431,0.004,0,43154,FS,110.51
SpinFull 8yr,RsdbdAdhd 8yr,0.16,0.005,0,42187,FS,34.04
SprakSeman 8yr,RsdbdAdhd 8yr,0.308,0.006,0,24080,FS,53.1
CapeFullC 14yr,RsdbdAdhd 8yr,0.045,0.008,2.18e-102,16127,FS,5.7
PeqParenC 14yr,RsdbdAdhd 8yr,-0.136,0.008,6.37e-48,16179,FS,17.66
SbSchooC 14yr,RsdbdAdhd 8yr,0.08,0.008,2.06e-33,14730,FS,9.76
SclAnxieC 14yr,RsdbdAdhd 8yr,0.038,0.008,7.49e-261,14738,FS,4.63
SclDepreC 14yr,RsdbdAdhd 8yr,0.052,0.008,3.84e-84,14732,FS,6.34
SdqProsoC 14yr,RsdbdAdhd 8yr,-0.136,0.009,1.3e-15,13065,FS,15.81
SdqProsoM 14yr,RsdbdAdhd 8yr,-0.231,0.009,9.53e-295,10964,FS,25.67
SmfqFullC 14yr,RsdbdAdhd 8yr,0.058,0.008,2.92e-30,16140,FS,7.44
SmfqFullM 14yr,RsdbdAdhd 8yr,0.194,0.008,0,13680,FS,23.66
SpinFullC 14yr,RsdbdAdhd 8yr,0.026,0.008,2.14e-39,15737,FS,3.25
SppaSociaC 14yr,RsdbdAdhd 8yr,-0.112,0.008,1.04e-87,16193,FS,14.36
SwlsFullC 14yr,RsdbdAdhd 8yr,-0.098,0.008,1.49e-53,16179,FS,12.56
YptiFullC 14yr,RsdbdAdhd 8yr,0.167,0.008,5.07e-40,16076,FS,21.69
RsdbdHyper 8yr,RsdbdCondu 8yr,0.383,0.004,0,43270,FS,93.41
RsdbdInatt 8yr,RsdbdCondu 8yr,0.309,0.004,0,43279,FS,71.86
RsdbdOdd 8yr,RsdbdCondu 8yr,0.478,0.004,0,43263,FS,129.19
ScaredFull 8yr,RsdbdCondu 8yr,0.045,0.005,0,43295,FS,9.37
ScqRestr 8yr,RsdbdCondu 8yr,-0.149,0.005,0,35948,FS,28.65
ScqSocia 8yr,RsdbdCondu 8yr,0.002,0.005,0,35975,FS,0.38
SmfqFull 8yr,RsdbdCondu 8yr,0.316,0.004,0,43227,FS,73.49
SpinFull 8yr,RsdbdCondu 8yr,0.082,0.005,0,42251,FS,17.08
SprakSeman 8yr,RsdbdCondu 8yr,0.128,0.006,0,24114,FS,20.32
CapeFullC 14yr,RsdbdCondu 8yr,0.005,0.008,0,16157,FS,0.63
PeqParenC 14yr,RsdbdCondu 8yr,-0.113,0.008,0,16209,FS,14.49
SbSchooC 14yr,RsdbdCondu 8yr,0.048,0.008,0,14757,FS,5.85
SclAnxieC 14yr,RsdbdCondu 8yr,-0.026,0.008,0,14765,FS,3.17
SclDepreC 14yr,RsdbdCondu 8yr,-0.007,0.008,0,14759,FS,0.85
SdqProsoC 14yr,RsdbdCondu 8yr,-0.133,0.009,0,13089,FS,15.47
SdqProsoM 14yr,RsdbdCondu 8yr,-0.216,0.009,0,10982,FS,23.74
SmfqFullC 14yr,RsdbdCondu 8yr,0.004,0.008,0,16170,FS,0.51
SmfqFullM 14yr,RsdbdCondu 8yr,0.129,0.008,0,13704,FS,15.36
SpinFullC 14yr,RsdbdCondu 8yr,-0.022,0.008,0,15763,FS,2.75
SppaSociaC 14yr,RsdbdCondu 8yr,-0.04,0.008,0,16224,FS,5.13
SwlsFullC 14yr,RsdbdCondu 8yr,-0.058,0.008,0,16210,FS,7.44
YptiFullC 14yr,RsdbdCondu 8yr,0.147,0.008,0,16106,FS,19.09
RsdbdInatt 8yr,RsdbdHyper 8yr,0.575,0.003,2.02e-296,43270,FS,179.69
RsdbdOdd 8yr,RsdbdHyper 8yr,0.509,0.004,2.0875369292536e-308,43265,FS,141.39
ScaredFull 8yr,RsdbdHyper 8yr,0.09,0.005,0,43263,FS,18.75
ScqRestr 8yr,RsdbdHyper 8yr,-0.301,0.005,0,35890,FS,62.71
ScqSocia 8yr,RsdbdHyper 8yr,-0.016,0.005,1.23e-272,35916,FS,3.02
SmfqFull 8yr,RsdbdHyper 8yr,0.366,0.004,0,43142,FS,87.14
SpinFull 8yr,RsdbdHyper 8yr,0.114,0.005,0,42176,FS,23.75
SprakSeman 8yr,RsdbdHyper 8yr,0.192,0.006,0,24075,FS,30.97
CapeFullC 14yr,RsdbdHyper 8yr,0.047,0.008,2.03e-156,16124,FS,5.95
PeqParenC 14yr,RsdbdHyper 8yr,-0.114,0.008,3.88e-102,16176,FS,14.62
SbSchooC 14yr,RsdbdHyper 8yr,0.073,0.008,1.63e-85,14727,FS,8.9
SclAnxieC 14yr,RsdbdHyper 8yr,0.033,0.008,1.1125390642536e-308,14735,FS,4.02
SclDepreC 14yr,RsdbdHyper 8yr,0.04,0.008,4.94e-137,14729,FS,4.88
SdqProsoC 14yr,RsdbdHyper 8yr,-0.107,0.009,9.11e-59,13062,FS,12.44
SdqProsoM 14yr,RsdbdHyper 8yr,-0.184,0.009,0,10961,FS,20
SmfqFullC 14yr,RsdbdHyper 8yr,0.05,0.008,1.88e-82,16137,FS,6.33
SmfqFullM 14yr,RsdbdHyper 8yr,0.155,0.008,0,13676,FS,18.67
SpinFullC 14yr,RsdbdHyper 8yr,0,0.008,7.45e-92,15734,FS,0
SppaSociaC 14yr,RsdbdHyper 8yr,-0.064,0.008,1.18e-140,16190,FS,8.21
SwlsFullC 14yr,RsdbdHyper 8yr,-0.075,0.008,1.74e-107,16176,FS,9.62
YptiFullC 14yr,RsdbdHyper 8yr,0.168,0.008,1.74e-93,16073,FS,21.82
RsdbdOdd 8yr,RsdbdInatt 8yr,0.433,0.004,1.63e-225,43264,FS,111.03
ScaredFull 8yr,RsdbdInatt 8yr,0.141,0.005,0,43271,FS,30
ScqRestr 8yr,RsdbdInatt 8yr,-0.279,0.005,0,35898,FS,56.94
ScqSocia 8yr,RsdbdInatt 8yr,0.014,0.005,6.94e-208,35924,FS,2.64
SmfqFull 8yr,RsdbdInatt 8yr,0.408,0.004,0,43152,FS,102
SpinFull 8yr,RsdbdInatt 8yr,0.161,0.005,0,42184,FS,34.26
SprakSeman 8yr,RsdbdInatt 8yr,0.33,0.006,0,24080,FS,57.89
CapeFullC 14yr,RsdbdInatt 8yr,0.037,0.008,1.66e-150,16127,FS,4.68
PeqParenC 14yr,RsdbdInatt 8yr,-0.13,0.008,2.84e-96,16179,FS,16.88
SbSchooC 14yr,RsdbdInatt 8yr,0.069,0.008,4.88e-69,14730,FS,8.41
SclAnxieC 14yr,RsdbdInatt 8yr,0.036,0.008,1.44e-299,14738,FS,4.39
SclDepreC 14yr,RsdbdInatt 8yr,0.051,0.008,2.34e-121,14732,FS,6.22
SdqProsoC 14yr,RsdbdInatt 8yr,-0.13,0.009,2.98e-44,13065,FS,15.12
SdqProsoM 14yr,RsdbdInatt 8yr,-0.219,0.009,2.63e-307,10964,FS,24.07
SmfqFullC 14yr,RsdbdInatt 8yr,0.053,0.008,3.23e-78,16140,FS,6.79
SmfqFullM 14yr,RsdbdInatt 8yr,0.192,0.008,0,13680,FS,23.41
SpinFullC 14yr,RsdbdInatt 8yr,0.04,0.008,1.34e-83,15737,FS,5
SppaSociaC 14yr,RsdbdInatt 8yr,-0.125,0.008,3.44e-134,16193,FS,16.23
SwlsFullC 14yr,RsdbdInatt 8yr,-0.098,0.008,2.6e-101,16179,FS,12.56
YptiFullC 14yr,RsdbdInatt 8yr,0.137,0.008,6.87e-87,16076,FS,17.79
ScaredFull 8yr,RsdbdOdd 8yr,0.168,0.005,0,43257,FS,35.74
ScqRestr 8yr,RsdbdOdd 8yr,-0.204,0.005,0,35885,FS,40
ScqSocia 8yr,RsdbdOdd 8yr,-0.026,0.005,1.2e-263,35910,FS,4.91
SmfqFull 8yr,RsdbdOdd 8yr,0.466,0.004,0,43136,FS,122.63
SpinFull 8yr,RsdbdOdd 8yr,0.148,0.005,0,42169,FS,30.83
SprakSeman 8yr,RsdbdOdd 8yr,0.169,0.006,0,24074,FS,26.83
CapeFullC 14yr,RsdbdOdd 8yr,0.079,0.008,1.48e-137,16122,FS,10.13
PeqParenC 14yr,RsdbdOdd 8yr,-0.169,0.008,6.24e-87,16174,FS,22.24
SbSchooC 14yr,RsdbdOdd 8yr,0.099,0.008,1.12e-71,14725,FS,12.07
SclAnxieC 14yr,RsdbdOdd 8yr,0.068,0.008,9.42e-299,14733,FS,8.29
SclDepreC 14yr,RsdbdOdd 8yr,0.094,0.008,7.05e-123,14727,FS,11.46
SdqProsoC 14yr,RsdbdOdd 8yr,-0.109,0.009,4.59e-47,13060,FS,12.67
SdqProsoM 14yr,RsdbdOdd 8yr,-0.249,0.009,1.1125369292536e-308,10960,FS,27.67
SmfqFullC 14yr,RsdbdOdd 8yr,0.11,0.008,1.01e-68,16135,FS,14.1
SmfqFullM 14yr,RsdbdOdd 8yr,0.236,0.008,0,13675,FS,29.14
SpinFullC 14yr,RsdbdOdd 8yr,0.064,0.008,3.94e-75,15732,FS,8.1
SppaSociaC 14yr,RsdbdOdd 8yr,-0.108,0.008,1.92e-124,16188,FS,13.85
SwlsFullC 14yr,RsdbdOdd 8yr,-0.129,0.008,1.12e-91,16174,FS,16.75
YptiFullC 14yr,RsdbdOdd 8yr,0.132,0.008,4.14e-76,16071,FS,16.92
ScqRestr 8yr,ScaredFull 8yr,-0.141,0.005,0,35910,FS,27.12
ScqSocia 8yr,ScaredFull 8yr,-0.004,0.005,0,35937,FS,0.75
SmfqFull 8yr,ScaredFull 8yr,0.249,0.005,0,43169,FS,55.33
SpinFull 8yr,ScaredFull 8yr,0.13,0.005,0,42202,FS,27.08
SprakSeman 8yr,ScaredFull 8yr,0.11,0.006,0,24085,FS,17.19
CapeFullC 14yr,ScaredFull 8yr,0.06,0.008,0,16132,FS,7.69
PeqParenC 14yr,ScaredFull 8yr,-0.005,0.008,0,16184,FS,0.63
SbSchooC 14yr,ScaredFull 8yr,0.035,0.008,0,14735,FS,4.27
SclAnxieC 14yr,ScaredFull 8yr,0.104,0.008,0,14743,FS,12.84
SclDepreC 14yr,ScaredFull 8yr,0.083,0.008,0,14737,FS,10.12
SdqProsoC 14yr,ScaredFull 8yr,0,0.009,0,13069,FS,0
SdqProsoM 14yr,ScaredFull 8yr,-0.068,0.01,0,10966,FS,7.16
SmfqFullC 14yr,ScaredFull 8yr,0.062,0.008,0,16145,FS,7.95
SmfqFullM 14yr,ScaredFull 8yr,0.145,0.008,0,13683,FS,17.26
SpinFullC 14yr,ScaredFull 8yr,0.081,0.008,0,15741,FS,10.25
SppaSociaC 14yr,ScaredFull 8yr,-0.069,0.008,0,16199,FS,8.85
SwlsFullC 14yr,ScaredFull 8yr,-0.046,0.008,0,16185,FS,5.9
YptiFullC 14yr,ScaredFull 8yr,-0.034,0.008,0,16081,FS,4.3
ScqSocia 8yr,ScqRestr 8yr,-0.003,0.005,0,35954,FS,0.57
SmfqFull 8yr,ScqRestr 8yr,-0.225,0.005,0,35854,FS,45
SpinFull 8yr,ScqRestr 8yr,-0.107,0.005,0,35073,FS,20.19
SprakSeman 8yr,ScqRestr 8yr,-0.23,0.007,0,21347,FS,35.38
CapeFullC 14yr,ScqRestr 8yr,-0.021,0.008,0,14292,FS,2.5
PeqParenC 14yr,ScqRestr 8yr,0.034,0.008,0,14332,FS,4.1
SbSchooC 14yr,ScqRestr 8yr,-0.014,0.009,0,13029,FS,1.59
SclAnxieC 14yr,ScqRestr 8yr,-0.015,0.009,0,13029,FS,1.7
SclDepreC 14yr,ScqRestr 8yr,-0.012,0.009,0,13024,FS,1.36
SdqProsoC 14yr,ScqRestr 8yr,0.081,0.009,0,13052,FS,9.31
SdqProsoM 14yr,ScqRestr 8yr,0.104,0.01,0,10952,FS,10.95
SmfqFullC 14yr,ScqRestr 8yr,-0.014,0.008,0,14297,FS,1.67
SmfqFullM 14yr,ScqRestr 8yr,-0.097,0.009,0,12230,FS,10.78
SpinFullC 14yr,ScqRestr 8yr,-0.027,0.009,0,13939,FS,3.18
SppaSociaC 14yr,ScqRestr 8yr,0.073,0.008,0,14345,FS,8.8
SwlsFullC 14yr,ScqRestr 8yr,0.04,0.008,0,14334,FS,4.82
YptiFullC 14yr,ScqRestr 8yr,-0.031,0.008,0,14247,FS,3.69
SmfqFull 8yr,ScqSocia 8yr,-0.017,0.005,0,35880,FS,3.21
SpinFull 8yr,ScqSocia 8yr,0,0.005,0,35098,FS,0
SprakSeman 8yr,ScqSocia 8yr,0.004,0.007,0,21361,FS,0.59
CapeFullC 14yr,ScqSocia 8yr,-0.058,0.008,4.68e-137,14303,FS,6.99
PeqParenC 14yr,ScqSocia 8yr,0,0.008,1.03e-89,14343,FS,0
SbSchooC 14yr,ScqSocia 8yr,-0.014,0.009,1.54e-70,13040,FS,1.59
SclAnxieC 14yr,ScqSocia 8yr,-0.054,0.009,7.84e-282,13040,FS,6.21
SclDepreC 14yr,ScqSocia 8yr,-0.048,0.009,4.6e-118,13035,FS,5.52
SdqProsoC 14yr,ScqSocia 8yr,-0.044,0.009,2.39e-55,13062,FS,5.06
SdqProsoM 14yr,ScqSocia 8yr,-0.083,0.01,0,10960,FS,8.74
SmfqFullC 14yr,ScqSocia 8yr,-0.052,0.008,1.37e-76,14308,FS,6.27
SmfqFullM 14yr,ScqSocia 8yr,-0.033,0.009,0,12238,FS,3.67
SpinFullC 14yr,ScqSocia 8yr,-0.027,0.009,3.06e-79,13950,FS,3.18
SppaSociaC 14yr,ScqSocia 8yr,0.024,0.008,7.53e-125,14356,FS,2.89
SwlsFullC 14yr,ScqSocia 8yr,0.021,0.008,3.61e-97,14345,FS,2.53
YptiFullC 14yr,ScqSocia 8yr,-0.001,0.008,6.73e-77,14258,FS,0.12
SpinFull 8yr,SmfqFull 8yr,0.159,0.005,0,42130,FS,33.83
SprakSeman 8yr,SmfqFull 8yr,0.195,0.006,0,24046,FS,31.45
CapeFullC 14yr,SmfqFull 8yr,0.117,0.008,0,16121,FS,15
PeqParenC 14yr,SmfqFull 8yr,-0.144,0.008,0,16173,FS,18.7
SbSchooC 14yr,SmfqFull 8yr,0.096,0.008,0,14724,FS,11.71
SclAnxieC 14yr,SmfqFull 8yr,0.123,0.008,0,14732,FS,15.19
SclDepreC 14yr,SmfqFull 8yr,0.145,0.008,0,14726,FS,17.9
SdqProsoC 14yr,SmfqFull 8yr,-0.074,0.009,2.29e-291,13060,FS,8.51
SdqProsoM 14yr,SmfqFull 8yr,-0.154,0.009,0,10953,FS,16.56
SmfqFullC 14yr,SmfqFull 8yr,0.155,0.008,0,16171,FS,20.13
SmfqFullM 14yr,SmfqFull 8yr,0.308,0.008,0,13705,FS,40
SpinFullC 14yr,SmfqFull 8yr,0.094,0.008,0,15726,FS,11.9
SppaSociaC 14yr,SmfqFull 8yr,-0.143,0.008,0,16189,FS,18.57
SwlsFullC 14yr,SmfqFull 8yr,-0.143,0.008,0,16174,FS,18.57
YptiFullC 14yr,SmfqFull 8yr,0.097,0.008,0,16070,FS,12.44
SprakSeman 8yr,SpinFull 8yr,0.16,0.006,0,23665,FS,25.4
CapeFullC 14yr,SpinFull 8yr,0.054,0.008,0,15768,FS,6.84
PeqParenC 14yr,SpinFull 8yr,-0.047,0.008,0,15819,FS,5.95
SbSchooC 14yr,SpinFull 8yr,0.05,0.008,0,14425,FS,6.02
SclAnxieC 14yr,SpinFull 8yr,0.049,0.008,0,14433,FS,5.9
SclDepreC 14yr,SpinFull 8yr,0.064,0.008,0,14427,FS,7.71
SdqProsoC 14yr,SpinFull 8yr,-0.055,0.009,0,12803,FS,6.25
SdqProsoM 14yr,SpinFull 8yr,-0.116,0.01,0,10746,FS,12.21
SmfqFullC 14yr,SpinFull 8yr,0.051,0.008,0,15780,FS,6.46
SmfqFullM 14yr,SpinFull 8yr,0.108,0.009,0,13368,FS,12.71
SpinFullC 14yr,SpinFull 8yr,0.086,0.008,0,15764,FS,10.89
SppaSociaC 14yr,SpinFull 8yr,-0.089,0.008,0,15832,FS,11.27
SwlsFullC 14yr,SpinFull 8yr,-0.071,0.008,0,15819,FS,8.99
YptiFullC 14yr,SpinFull 8yr,0.032,0.008,0,15719,FS,4
CapeFullC 14yr,SprakSeman 8yr,0.013,0.01,0,9857,FS,1.29
PeqParenC 14yr,SprakSeman 8yr,-0.033,0.01,0,9891,FS,3.3
SbSchooC 14yr,SprakSeman 8yr,0.037,0.01,0,9871,FS,3.66
SclAnxieC 14yr,SprakSeman 8yr,0.018,0.01,0,9879,FS,1.78
SclDepreC 14yr,SprakSeman 8yr,0.02,0.01,0,9873,FS,1.98
SdqProsoC 14yr,SprakSeman 8yr,-0.066,0.01,0,9094,FS,6.35
SdqProsoM 14yr,SprakSeman 8yr,-0.129,0.012,0,6969,FS,10.93
SmfqFullC 14yr,SprakSeman 8yr,0.019,0.01,0,9867,FS,1.88
SmfqFullM 14yr,SprakSeman 8yr,0.093,0.011,0,7543,FS,8.16
SpinFullC 14yr,SprakSeman 8yr,0.034,0.01,0,9659,FS,3.33
SppaSociaC 14yr,SprakSeman 8yr,-0.072,0.01,0,9898,FS,7.2
SwlsFullC 14yr,SprakSeman 8yr,-0.047,0.01,0,9888,FS,4.7
YptiFullC 14yr,SprakSeman 8yr,0.045,0.01,0,9830,FS,4.46
PeqParenC 14yr,CapeFullC 14yr,-0.346,0.006,3.64e-148,21867,FS,57.67
SbSchooC 14yr,CapeFullC 14yr,0.341,0.006,1.54e-122,20018,FS,55
SclAnxieC 14yr,CapeFullC 14yr,0.584,0.005,0,20005,FS,124.26
SclDepreC 14yr,CapeFullC 14yr,0.62,0.004,3.95e-178,20000,FS,144.19
SdqProsoC 14yr,CapeFullC 14yr,-0.066,0.008,1.42e-73,15846,FS,8.35
SdqProsoM 14yr,CapeFullC 14yr,-0.01,0.01,0,10190,FS,1.01
SmfqFullC 14yr,CapeFullC 14yr,0.635,0.005,8.49e-98,16091,FS,135.11
SmfqFullM 14yr,CapeFullC 14yr,0.275,0.009,0,10952,FS,31.25
SpinFullC 14yr,CapeFullC 14yr,0.445,0.006,1.45e-112,15693,FS,69.53
SppaSociaC 14yr,CapeFullC 14yr,-0.36,0.006,2.9e-175,21866,FS,61.02
SwlsFullC 14yr,CapeFullC 14yr,-0.457,0.005,6.67e-156,21852,FS,84.63
YptiFullC 14yr,CapeFullC 14yr,0.292,0.006,5.19e-122,21780,FS,47.1
SbSchooC 14yr,PeqParenC 14yr,-0.329,0.006,1.64e-76,20055,FS,52.22
SclAnxieC 14yr,PeqParenC 14yr,-0.327,0.006,0,20082,FS,51.9
SclDepreC 14yr,PeqParenC 14yr,-0.417,0.006,2.77e-137,20078,FS,71.9
SdqProsoC 14yr,PeqParenC 14yr,0.275,0.007,2.19e-34,15892,FS,37.67
SdqProsoM 14yr,PeqParenC 14yr,0.244,0.009,0,10216,FS,26.24
SmfqFullC 14yr,PeqParenC 14yr,-0.441,0.006,4.26e-49,16155,FS,70
SmfqFullM 14yr,PeqParenC 14yr,-0.243,0.009,0,10988,FS,27
SpinFullC 14yr,PeqParenC 14yr,-0.263,0.007,4.05e-53,15761,FS,35.54
SppaSociaC 14yr,PeqParenC 14yr,0.297,0.006,2.61e-118,21940,FS,47.9
SwlsFullC 14yr,PeqParenC 14yr,0.515,0.005,1.81e-93,21927,FS,103
YptiFullC 14yr,PeqParenC 14yr,-0.325,0.006,1.04e-64,21797,FS,53.28
SclAnxieC 14yr,SbSchooC 14yr,0.335,0.006,0,20032,FS,53.17
SclDepreC 14yr,SbSchooC 14yr,0.4,0.006,2.5e-124,20028,FS,67.8
SdqProsoC 14yr,SbSchooC 14yr,-0.208,0.008,6.14e-37,15866,FS,27.37
SdqProsoM 14yr,SbSchooC 14yr,-0.118,0.01,1.1125369293191e-308,10205,FS,12.04
SmfqFullC 14yr,SbSchooC 14yr,0.397,0.007,2.96e-41,14699,FS,57.54
SmfqFullM 14yr,SbSchooC 14yr,0.256,0.01,0,9723,FS,26.95
SpinFullC 14yr,SbSchooC 14yr,0.292,0.008,9.68e-52,14362,FS,38.42
SppaSociaC 14yr,SbSchooC 14yr,-0.373,0.006,4.22e-112,20055,FS,61.15
SwlsFullC 14yr,SbSchooC 14yr,-0.435,0.006,4.3e-116,20040,FS,76.32
YptiFullC 14yr,SbSchooC 14yr,0.211,0.007,8.48e-61,19948,FS,31.03
SclDepreC 14yr,SclAnxieC 14yr,0.746,0.003,0,20085,FS,240.65
SdqProsoC 14yr,SclAnxieC 14yr,-0.034,0.008,7.85e-252,15879,FS,4.3
SdqProsoM 14yr,SclAnxieC 14yr,-0.028,0.01,0,10212,FS,2.83
SmfqFullC 14yr,SclAnxieC 14yr,0.678,0.005,2.77e-307,14727,FS,150.67
SmfqFullM 14yr,SclAnxieC 14yr,0.352,0.009,0,9726,FS,39.55
SpinFullC 14yr,SclAnxieC 14yr,0.488,0.006,2.71e-292,14387,FS,76.25
SppaSociaC 14yr,SclAnxieC 14yr,-0.384,0.006,0,20075,FS,64
SwlsFullC 14yr,SclAnxieC 14yr,-0.49,0.005,0,20069,FS,90.74
YptiFullC 14yr,SclAnxieC 14yr,0.18,0.007,1.1125369337636e-308,19938,FS,26.09
SdqProsoC 14yr,SclDepreC 14yr,-0.091,0.008,9.8e-79,15874,FS,11.52
SdqProsoM 14yr,SclDepreC 14yr,-0.06,0.01,0,10209,FS,6.06
SmfqFullC 14yr,SclDepreC 14yr,0.802,0.003,1.52e-144,14722,FS,276.55
SmfqFullM 14yr,SclDepreC 14yr,0.41,0.008,0,9722,FS,48.81
