"Var1","Var2","r","se","p","n"
"NhpicBenev_8yr","AsqMotor_6mo","0.023","0.0049","0.00e+00","41462"
"NhpicConsc_8yr","AsqMotor_6mo","-0.057","0.0049","0.00e+00","41464"
"RsdbdAdhd_8yr","AsqMotor_6mo","0.054","0.0049","0.00e+00","41491"
"RsdbdCondu_8yr","AsqMotor_6mo","0.017","0.0049","0.00e+00","41562"
"RsdbdHyper_8yr","AsqMotor_6mo","0.015","0.0049","0.00e+00","41480"
"RsdbdInatt_8yr","AsqMotor_6mo","0.073","0.0049","0.00e+00","41489"
"RsdbdOdd_8yr","AsqMotor_6mo","0.027","0.0049","0.00e+00","41473"
"ScaredFull_8yr","AsqMotor_6mo","0.039","0.0049","0.00e+00","41506"
"ScqRestr_8yr","AsqMotor_6mo","-0.071","0.0053","0.00e+00","35185"
"ScqSocia_8yr","AsqMotor_6mo","0.042","0.0053","0.00e+00","35212"
"SmfqFull_8yr","AsqMotor_6mo","0.04","0.0049","0.00e+00","41444"
"SpinFull_8yr","AsqMotor_6mo","0.043","0.005","0.00e+00","40519"
"SprakSeman_8yr","AsqMotor_6mo","0.046","0.0065","0.00e+00","23500"
"CapeFullC_14yr","AsqMotor_6mo","-0.006","0.007","0.00e+00","20643"
"PeqParenC_14yr","AsqMotor_6mo","0","0.007","0.00e+00","20702"
"SbSchooC_14yr","AsqMotor_6mo","-0.005","0.0073","0.00e+00","18912"
"SclAnxieC_14yr","AsqMotor_6mo","0.004","0.0073","0.00e+00","18926"
"SclDepreC_14yr","AsqMotor_6mo","0.002","0.0073","0.00e+00","18920"
"SdqProsoC_14yr","AsqMotor_6mo","-0.012","0.008","0.00e+00","15569"
"SdqProsoM_14yr","AsqMotor_6mo","-0.021","0.0089","0.00e+00","12689"
"SmfqFullC_14yr","AsqMotor_6mo","0.002","0.008","0.00e+00","15730"
"SmfqFullM_14yr","AsqMotor_6mo","0.039","0.0086","0.00e+00","13354"
"SpinFullC_14yr","AsqMotor_6mo","0.003","0.0081","0.00e+00","15334"
"SppaSociaC_14yr","AsqMotor_6mo","-0.043","0.0069","0.00e+00","20718"
"SwlsFullC_14yr","AsqMotor_6mo","-0.019","0.0069","0.00e+00","20699"
"YptiFullC_14yr","AsqMotor_6mo","-0.029","0.007","0.00e+00","20573"
"AsqLangu_18mo","IcqFussi_6mo","0.046","0.0037","0.00e+00","72270"
"AsqMotor_18mo","IcqFussi_6mo","0.053","0.0037","0.00e+00","72287"
"CbclExter_18mo","IcqFussi_6mo","0.254","0.0035","5.26e-140","72833"
"CbclInter_18mo","IcqFussi_6mo","0.237","0.0035","0.00e+00","72661"
"EasActiv_18mo","IcqFussi_6mo","-0.01","0.0037","0.00e+00","72482"
"EasEmoti_18mo","IcqFussi_6mo","-0.286","0.0034","0.00e+00","72490"
"EasShyne_18mo","IcqFussi_6mo","0.167","0.0036","5.88e-68","72473"
"EasSocia_18mo","IcqFussi_6mo","0.104","0.0037","0.00e+00","72475"
"AsqLangu_3yr","IcqFussi_6mo","0.074","0.0042","0.00e+00","56132"
"AsqMotor_3yr","IcqFussi_6mo","0.094","0.0042","0.00e+00","56062"
"CbclExter_3yr","IcqFussi_6mo","0.229","0.0041","1.97e-25","52238"
"CbclInter_3yr","IcqFussi_6mo","0.231","0.0041","2.64e-205","52112"
"CfqPress_3yr","IcqFussi_6mo","0.117","0.0042","0.00e+00","55340"
"CfqRestr_3yr","IcqFussi_6mo","0.11","0.0042","7.69e-99","55323"
"EasActiv_3yr","IcqFussi_6mo","-0.025","0.0044","1.07e-38","52090"
"EasEmoti_3yr","IcqFussi_6mo","-0.215","0.0042","0.00e+00","52097"
"EasShyne_3yr","IcqFussi_6mo","0.154","0.0043","6.87e-25","52082"
"EasSocia_3yr","IcqFussi_6mo","0.082","0.0044","4.17e-39","52085"
"ItseaCompe_3yr","IcqFussi_6mo","-0.093","0.0042","0.00e+00","56401"
"ItseaDysre_3yr","IcqFussi_6mo","0.143","0.0041","0.00e+00","56060"
"ItseaExter_3yr","IcqFussi_6mo","0.179","0.0041","5.73e-269","56080"
"ItseaInter_3yr","IcqFussi_6mo","0.095","0.0042","0.00e+00","56061"
"ScqRestr_3yr","IcqFussi_6mo","-0.106","0.0042","7.92e-55","56250"
"ScqSocia_3yr","IcqFussi_6mo","0.053","0.0042","0.00e+00","56289"
"SdqProso_3yr","IcqFussi_6mo","-0.141","0.0041","0.00e+00","56293"
"AsqLangu_5yr","IcqFussi_6mo","0.069","0.005","0.00e+00","39422"
"AsqMotor_5yr","IcqFussi_6mo","-0.086","0.005","0.00e+00","39418"
"CastFull_5yr","IcqFussi_6mo","0.002","0.0084","0.00e+00","14194"
"CbclExter_5yr","IcqFussi_6mo","0.185","0.0051","1.24e-112","36458"
"CbclInter_5yr","IcqFussi_6mo","0.187","0.0051","1.87e-195","36382"
"CccCoher_5yr","IcqFussi_6mo","-0.138","0.0049","1.18e-104","39586"
"CprsrsFull_5yr","IcqFussi_6mo","0.192","0.0048","1.33e-148","39540"
"EasActiv_5yr","IcqFussi_6mo","0.026","0.0052","6.49e-88","36350"
"EasEmoti_5yr","IcqFussi_6mo","-0.2","0.005","0.00e+00","36358"
"EasShyne_5yr","IcqFussi_6mo","0.134","0.0052","8.89e-58","36344"
"EasSocia_5yr","IcqFussi_6mo","0.06","0.0052","4.94e-324","36350"
"SlasFull_5yr","IcqFussi_6mo","-0.057","0.0099","0.00e+00","10227"
"SprakExpre_5yr","IcqFussi_6mo","0.098","0.0054","0.00e+00","33438"
"SprakRecep_5yr","IcqFussi_6mo","0.13","0.0054","0.00e+00","33439"
"SprakSeman_5yr","IcqFussi_6mo","0.129","0.0054","0.00e+00","33457"
"CccCoher_8yr","IcqFussi_6mo","0.112","0.0059","7.20e-73","28374"
"CebqFull_8yr","IcqFussi_6mo","0.12","0.0048","8.97e-174","41406"
"NhpicBenev_8yr","IcqFussi_6mo","0.145","0.0048","5.50e-45","41501"
"NhpicConsc_8yr","IcqFussi_6mo","-0.137","0.0048","6.94e-31","41503"
"RsdbdAdhd_8yr","IcqFussi_6mo","0.152","0.0048","1.88e-21","41529"
"RsdbdCondu_8yr","IcqFussi_6mo","0.079","0.0049","0.00e+00","41600"
"RsdbdHyper_8yr","IcqFussi_6mo","0.125","0.0048","1.12e-166","41518"
"RsdbdInatt_8yr","IcqFussi_6mo","0.14","0.0048","5.14e-81","41527"
"RsdbdOdd_8yr","IcqFussi_6mo","0.128","0.0048","4.71e-152","41512"
"ScaredFull_8yr","IcqFussi_6mo","0.084","0.0049","0.00e+00","41544"
"ScqRestr_8yr","IcqFussi_6mo","-0.09","0.0053","0.00e+00","35222"
"ScqSocia_8yr","IcqFussi_6mo","0.01","0.0053","4.30e-145","35247"
"SmfqFull_8yr","IcqFussi_6mo","0.125","0.0048","0.00e+00","41483"
"SpinFull_8yr","IcqFussi_6mo","0.134","0.0049","0.00e+00","40554"
"SprakSeman_8yr","IcqFussi_6mo","0.113","0.0064","0.00e+00","23536"
"CapeFullC_14yr","IcqFussi_6mo","-0.003","0.007","3.48e-98","20662"
"PeqParenC_14yr","IcqFussi_6mo","-0.028","0.0069","4.90e-40","20720"
"SbSchooC_14yr","IcqFussi_6mo","0","0.0073","4.15e-27","18932"
"SclAnxieC_14yr","IcqFussi_6mo","0.01","0.0073","8.60e-290","18945"
"SclDepreC_14yr","IcqFussi_6mo","0.012","0.0073","1.59e-86","18940"
"SdqProsoC_14yr","IcqFussi_6mo","-0.035","0.008","7.66e-08","15583"
"SdqProsoM_14yr","IcqFussi_6mo","-0.113","0.0088","0.00e+00","12717"
"SmfqFullC_14yr","IcqFussi_6mo","0.017","0.008","2.61e-17","15752"
"SmfqFullM_14yr","IcqFussi_6mo","0.045","0.0086","0.00e+00","13382"
"SpinFullC_14yr","IcqFussi_6mo","0.027","0.0081","1.00e-23","15354"
"SppaSociaC_14yr","IcqFussi_6mo","-0.042","0.0069","1.49e-83","20736"
"SwlsFullC_14yr","IcqFussi_6mo","-0.018","0.0069","4.92e-44","20717"
"YptiFullC_14yr","IcqFussi_6mo","0.018","0.007","1.35e-26","20590"
"AsqMotor_18mo","AsqLangu_18mo","0.257","0.0035","0.00e+00","72438"
"CbclExter_18mo","AsqLangu_18mo","0.123","0.0037","0.00e+00","72390"
