"Var1","Var2","r","se","p"
"CbclExter_5yr","AsqMotor_6mo","0.02","0.0052","0.00e+00"
"CbclInter_5yr","AsqMotor_6mo","0.036","0.0052","0.00e+00"
"CccCoher_5yr","AsqMotor_6mo","0.035","0.005","0.00e+00"
"CprsrsFull_5yr","AsqMotor_6mo","0.043","0.005","0.00e+00"
"EasActiv_5yr","AsqMotor_6mo","-0.004","0.0052","0.00e+00"
"EasEmoti_5yr","AsqMotor_6mo","0.022","0.0052","0.00e+00"
"EasShyne_5yr","AsqMotor_6mo","0.011","0.0052","0.00e+00"
"EasSocia_5yr","AsqMotor_6mo","0.014","0.0052","0.00e+00"
"SlasFull_5yr","AsqMotor_6mo","0.201","0.0095","0.00e+00"
"SprakExpre_5yr","AsqMotor_6mo","0.051","0.0055","0.00e+00"
"SprakRecep_5yr","AsqMotor_6mo","0.05","0.0055","0.00e+00"
"SprakSeman_5yr","AsqMotor_6mo","0.049","0.0055","0.00e+00"
"CccCoher_8yr","AsqMotor_6mo","0.079","0.0059","0.00e+00"
"CebqFull_8yr","AsqMotor_6mo","0.017","0.0049","0.00e+00"
"NhpicBenev_8yr","AsqMotor_6mo","0.016","0.0049","0.00e+00"
"NhpicConsc_8yr","AsqMotor_6mo","0.029","0.0049","0.00e+00"
"RsdbdAdhd_8yr","AsqMotor_6mo","0.029","0.0049","0.00e+00"
"RsdbdCondu_8yr","AsqMotor_6mo","0.015","0.0049","0.00e+00"
"RsdbdHyper_8yr","AsqMotor_6mo","0.02","0.0049","0.00e+00"
"RsdbdInatt_8yr","AsqMotor_6mo","0.057","0.0049","0.00e+00"
"RsdbdOdd_8yr","AsqMotor_6mo","0.021","0.0049","0.00e+00"
"ScaredFull_8yr","AsqMotor_6mo","0.034","0.0049","0.00e+00"
"ScqRestr_8yr","AsqMotor_6mo","0.084","0.0053","0.00e+00"
"ScqSocia_8yr","AsqMotor_6mo","0.018","0.0053","0.00e+00"
"SmfqFull_8yr","AsqMotor_6mo","0.029","0.0049","0.00e+00"
"SpinFull_8yr","AsqMotor_6mo","0.032","0.005","0.00e+00"
"SprakSeman_8yr","AsqMotor_6mo","0.038","0.0065","0.00e+00"
"CapeFullC_14yr","AsqMotor_6mo","0.008","0.007","0.00e+00"
"PeqParenC_14yr","AsqMotor_6mo","0.019","0.0069","0.00e+00"
"SbSchooC_14yr","AsqMotor_6mo","0.012","0.0073","0.00e+00"
"SclAnxieC_14yr","AsqMotor_6mo","-0.007","0.0073","0.00e+00"
"SclDepreC_14yr","AsqMotor_6mo","-0.003","0.0073","0.00e+00"
"SdqProsoC_14yr","AsqMotor_6mo","0.012","0.008","0.00e+00"
